idSolicitud;fecha;fechaCompra
141;15/10/2020;6/3/2020
142;20/10/2020;11/8/2020
143;25/3/2020;13/3/2020
144;3/3/2020;13/5/2020
145;3/5/2020;17/6/2020
146;13/3/2020;22/8/2020
147;23/11/2020;26/5/2020
148;11/5/2020;12/8/2020
149;21/8/2020;24/10/2020
150;11/6/2020;23/5/2020
151;11/10/2020;16/4/2020
152;23/6/2020;18/2/2020
153;8/2/2020;20/2/2020
154;30/9/2020;20/5/2020
155;7/3/2020;30/12/2020
156;21/2/2020;26/2/2020
157;7/9/2020;17/6/2020
158;7/6/2020;24/3/2020
159;13/11/2020;12/5/2020
160;8/4/2020;18/5/2020
161;1/12/2020;27/1/2020
162;26/2/2020;26/5/2020
163;19/7/2020;18/6/2020
164;10/10/2020;12/9/2020
165;1/7/2020;29/8/2020
166;11/3/2020;16/1/2020
167;14/4/2020;4/2/2020
168;5/2/2020;16/12/2020
169;14/5/2020;29/6/2020
170;24/4/2020;22/9/2020
171;6/10/2020;17/3/2020
172;14/4/2020;3/8/2020
173;29/11/2020;6/2/2020
174;17/5/2020;23/9/2020
175;18/12/2020;19/9/2020
176;19/3/2020;24/1/2020
177;16/3/2020;5/8/2020
178;23/4/2020;8/9/2020
179;13/9/2020;19/6/2020
180;11/12/2020;26/11/2020
181;28/3/2020;22/1/2020
182;3/4/2020;24/2/2020
183;1/11/2020;1/7/2020
184;16/7/2020;12/8/2020
185;22/10/2020;26/11/2020
186;7/8/2020;4/4/2020
187;12/12/2020;28/10/2020
188;19/3/2020;20/8/2020
189;29/11/2020;18/6/2020
190;15/2/2020;30/1/2020
191;19/12/2020;16/3/2020
192;28/7/2020;23/2/2020
193;10/8/2020;15/1/2020
194;9/11/2020;17/3/2020
195;24/10/2020;1/5/2020
196;21/1/2020;28/9/2020
197;21/7/2020;8/3/2020
198;20/7/2020;10/1/2020
199;14/10/2020;12/12/2020
200;13/1/2020;7/7/2020
201;14/9/2020;16/9/2020
202;22/9/2020;25/5/2020
203;13/7/2020;24/7/2020
204;11/8/2020;7/5/2020
205;11/10/2020;9/9/2020
206;15/7/2020;7/5/2020
207;1/1/2020;9/4/2020
208;24/4/2020;26/10/2020
209;12/11/2020;2/5/2020
210;9/6/2020;31/5/2020
211;21/12/2020;27/6/2020
212;24/2/2020;26/2/2020
213;4/10/2020;23/4/2020
214;21/10/2020;10/10/2020
215;5/4/2020;2/8/2020
216;31/10/2020;26/1/2020
217;7/5/2020;5/11/2020
218;13/8/2020;27/7/2020
219;17/3/2020;14/8/2020
220;19/4/2020;29/4/2020
221;25/5/2020;26/5/2020
222;3/10/2020;20/12/2020
223;16/1/2020;22/7/2020
224;18/8/2020;28/11/2020
225;21/11/2020;12/1/2020
226;28/3/2020;25/7/2020
227;18/10/2020;18/11/2020
228;14/3/2020;17/7/2020
229;4/5/2020;4/5/2020
230;16/3/2020;19/11/2020
231;28/2/2020;23/7/2020
232;10/11/2020;4/2/2020
233;6/10/2020;5/7/2020
234;2/7/2020;7/10/2020
235;29/2/2020;10/7/2020
236;13/4/2020;26/4/2020
237;31/12/2020;22/10/2020
238;1/10/2020;24/2/2020
239;8/5/2020;3/9/2020
240;22/12/2020;14/11/2020
241;8/9/2020;11/9/2020
242;12/7/2020;17/2/2020
243;5/10/2020;17/9/2020
244;20/7/2020;6/8/2020
245;17/9/2020;2/2/2020
246;14/1/2020;26/3/2020
247;18/11/2020;14/8/2020
248;21/4/2020;25/3/2020
249;20/8/2020;24/12/2020
250;29/8/2020;28/6/2020
251;12/3/2020;24/8/2020
252;21/7/2020;30/10/2020
253;24/6/2020;21/9/2020
254;9/8/2020;30/3/2020
255;3/5/2020;16/7/2020
256;6/2/2020;12/10/2020
257;3/1/2020;17/5/2020
258;14/7/2020;27/3/2020
259;10/6/2020;13/2/2020
260;13/12/2020;28/6/2020
261;7/6/2020;23/3/2020
262;16/3/2020;24/9/2020
263;17/3/2020;21/6/2020
264;11/7/2020;15/12/2020
265;25/11/2020;19/10/2020
266;20/3/2020;30/7/2020
267;11/1/2020;23/3/2020
268;1/9/2020;13/3/2020
269;12/3/2020;10/5/2020
270;15/7/2020;21/1/2020
271;25/10/2020;9/10/2020
272;22/11/2020;10/3/2020
273;5/12/2020;2/2/2020
274;22/7/2020;25/11/2020
275;10/12/2020;7/12/2020
276;26/10/2020;11/11/2020
277;13/6/2020;26/6/2020
278;18/3/2020;15/3/2020
279;27/7/2020;3/9/2020
280;8/3/2020;14/2/2020
281;14/9/2020;10/1/2020
282;9/8/2020;18/7/2020
283;23/9/2020;20/7/2020
284;18/5/2020;18/5/2020
285;28/6/2020;25/4/2020
286;29/5/2020;8/7/2020
287;15/1/2020;30/4/2020
288;18/12/2020;20/8/2020
289;3/7/2020;15/1/2020
290;20/10/2020;9/6/2020
291;29/2/2020;2/5/2020
292;12/8/2020;27/5/2020
293;15/8/2020;8/4/2020
294;17/1/2020;14/6/2020
295;29/5/2020;26/6/2020
296;10/7/2020;7/8/2020
297;5/4/2020;19/4/2020
298;21/12/2020;14/5/2020
299;17/10/2020;17/1/2020
300;7/8/2020;1/2/2020
301;15/11/2020;27/9/2020
302;8/10/2020;1/8/2020
303;5/2/2020;15/3/2020
304;6/7/2020;15/9/2020
305;4/12/2020;18/3/2020
306;14/11/2020;9/9/2020
307;28/8/2020;24/5/2020
308;5/3/2020;24/11/2020
309;25/9/2020;3/9/2020
310;26/7/2020;26/2/2020
311;22/7/2020;2/7/2020
312;7/5/2020;12/5/2020
313;23/8/2020;6/4/2020
314;13/8/2020;1/11/2020
315;6/1/2020;21/2/2020
316;21/6/2020;9/1/2020
317;25/8/2020;22/11/2020
318;26/10/2020;1/11/2020
319;10/5/2020;21/3/2020
320;10/8/2020;18/10/2020
321;3/11/2020;28/11/2020
322;21/10/2020;29/3/2020
323;27/4/2020;31/1/2020
324;16/9/2020;23/12/2020
325;12/10/2020;4/12/2020
326;8/4/2020;17/10/2020
327;4/12/2020;5/1/2020
328;19/2/2020;30/1/2020
329;22/3/2020;1/4/2020
330;16/6/2020;26/7/2020
331;31/7/2020;15/3/2020
332;20/3/2020;1/8/2020
333;18/1/2020;21/8/2020
334;24/6/2020;8/3/2020
335;6/4/2020;12/1/2020
336;4/6/2020;5/10/2020
337;26/11/2020;4/8/2020
338;26/10/2020;2/1/2020
339;28/6/2020;30/8/2020
340;22/7/2020;16/4/2020
341;25/8/2020;2/4/2020
342;29/8/2020;22/2/2020
343;9/2/2020;14/9/2020
344;23/11/2020;6/4/2020
345;23/9/2020;4/10/2020
346;27/9/2020;15/5/2020
347;15/7/2020;10/5/2020
348;13/4/2020;9/9/2020
349;13/11/2020;24/12/2020
350;29/2/2020;9/9/2020
351;22/11/2020;3/7/2020
352;26/10/2020;16/2/2020
353;11/12/2020;21/2/2020
354;13/5/2020;9/6/2020
355;24/12/2020;22/10/2020
356;16/7/2020;3/10/2020
357;24/6/2020;25/11/2020
358;26/3/2020;25/6/2020
359;25/2/2020;13/4/2020
360;5/2/2020;29/3/2020
361;21/10/2020;6/5/2020
362;3/2/2020;23/9/2020
363;14/9/2020;12/12/2020
364;2/4/2020;12/11/2020
365;9/6/2020;13/11/2020
366;19/3/2020;11/2/2020
367;13/5/2020;22/4/2020
368;11/3/2020;1/5/2020
369;24/7/2020;27/2/2020
370;10/3/2020;23/8/2020
371;28/10/2020;7/12/2020
372;27/8/2020;20/1/2020
373;11/2/2020;10/7/2020
374;24/11/2020;28/5/2020
375;12/6/2020;11/4/2020
376;6/4/2020;8/5/2020
377;25/8/2020;30/7/2020
378;11/1/2020;8/7/2020
379;24/6/2020;13/11/2020
380;28/9/2020;31/10/2020
381;4/3/2020;30/1/2020
382;27/9/2020;29/12/2020
383;29/6/2020;7/7/2020
384;26/2/2020;15/1/2020
385;28/1/2020;29/11/2020
386;17/11/2020;4/1/2020
387;13/7/2020;12/8/2020
388;5/10/2020;29/2/2020
389;26/2/2020;2/2/2020
390;14/7/2020;1/1/2020
391;8/12/2020;28/3/2020
392;18/2/2020;18/1/2020
393;17/5/2020;28/1/2020
394;7/1/2020;29/10/2020
395;26/1/2020;17/5/2020
396;12/10/2020;28/3/2020
397;11/11/2020;2/6/2020
398;6/2/2020;10/10/2020
399;20/6/2020;6/6/2020
400;26/12/2020;8/2/2020
401;7/2/2020;29/10/2020
402;26/1/2020;23/1/2020
403;14/10/2020;14/9/2020
404;30/5/2020;7/1/2020
405;22/6/2020;5/12/2020
406;21/10/2020;29/4/2020
407;5/10/2020;13/2/2020
408;30/12/2020;25/10/2020
409;11/11/2020;26/6/2020
410;28/7/2020;31/7/2020
411;10/12/2020;7/9/2020
412;14/3/2020;16/9/2020
413;10/4/2020;22/10/2020
414;26/4/2020;19/8/2020
415;3/8/2020;19/10/2020
416;2/4/2020;10/2/2020
417;20/12/2020;14/2/2020
418;4/6/2020;24/11/2020
419;29/12/2020;23/11/2020
420;21/2/2020;11/5/2020
421;29/6/2020;17/3/2020
422;15/12/2020;11/8/2020
423;22/3/2020;4/10/2020
424;19/6/2020;10/10/2020
425;14/6/2020;25/3/2020
426;14/1/2020;10/11/2020
427;17/4/2020;16/7/2020
428;15/3/2020;14/3/2020
429;1/6/2020;19/12/2020
430;11/2/2020;7/5/2020
431;8/9/2020;3/7/2020
432;12/1/2020;18/5/2020
433;21/11/2020;21/11/2020
434;14/9/2020;28/3/2020
435;27/8/2020;18/3/2020
436;4/9/2020;26/2/2020
437;21/1/2020;16/10/2020
438;7/3/2020;7/10/2020
439;1/3/2020;15/3/2020
440;21/5/2020;28/9/2020
441;17/9/2020;23/12/2020
442;30/4/2020;11/1/2020
443;15/8/2020;30/8/2020
444;29/4/2020;8/6/2020
445;19/6/2020;3/9/2020
446;21/1/2020;7/4/2020
447;28/6/2020;7/9/2020
448;13/3/2020;11/3/2020
449;16/1/2020;13/4/2020
450;15/1/2020;25/12/2020
451;17/2/2020;16/1/2020
452;23/1/2020;23/4/2020
453;19/9/2020;10/5/2020
454;26/9/2020;30/6/2020
455;3/9/2020;18/3/2020
456;20/10/2020;20/5/2020
457;11/8/2020;11/8/2020
458;21/3/2020;22/3/2020
459;9/4/2020;8/7/2020
460;27/12/2020;18/7/2020
461;12/8/2020;8/4/2020
462;9/8/2020;21/10/2020
463;7/2/2020;7/4/2020
464;14/8/2020;27/11/2020
465;20/7/2020;11/10/2020
466;17/10/2020;11/8/2020
467;13/8/2020;11/8/2020
468;1/6/2020;17/5/2020
469;7/6/2020;9/4/2020
470;28/2/2020;6/11/2020
471;20/12/2020;14/2/2020
472;8/9/2020;30/1/2020
473;1/3/2020;15/7/2020
474;23/10/2020;26/8/2020
475;23/7/2020;1/12/2020
476;27/2/2020;11/5/2020
477;30/5/2020;25/3/2020
478;5/1/2020;5/9/2020
479;21/6/2020;8/7/2020
480;14/3/2020;10/1/2020
481;9/3/2020;29/3/2020
482;20/8/2020;21/7/2020
483;2/3/2020;24/4/2020
484;4/1/2020;13/4/2020
485;14/7/2020;22/5/2020
486;19/6/2020;18/9/2020
487;26/7/2020;23/6/2020
488;22/6/2020;9/5/2020
489;2/9/2020;4/3/2020
490;14/10/2020;23/6/2020
491;13/12/2020;9/6/2020
492;29/1/2020;3/5/2020
493;25/12/2020;3/9/2020
494;15/4/2020;8/1/2020
495;12/9/2020;24/8/2020
496;9/6/2020;22/3/2020
497;14/12/2020;7/8/2020
498;24/5/2020;13/2/2020
499;7/7/2020;2/7/2020
500;14/3/2020;19/6/2020
501;14/12/2020;8/6/2020
502;30/7/2020;18/10/2020
503;9/8/2020;15/7/2020
504;26/12/2020;11/9/2020
505;14/8/2020;22/5/2020
506;18/2/2020;17/1/2020
507;21/6/2020;7/8/2020
508;29/7/2020;3/4/2020
509;16/2/2020;17/1/2020
510;9/8/2020;1/8/2020
511;9/1/2020;28/7/2020
512;6/4/2020;22/12/2020
513;17/11/2020;3/11/2020
514;17/7/2020;8/11/2020
515;3/12/2020;23/12/2020
516;30/3/2020;30/5/2020
517;16/11/2020;21/1/2020
518;12/8/2020;23/11/2020
519;14/10/2020;14/7/2020
520;4/12/2020;15/12/2020
521;18/2/2020;3/7/2020
522;23/4/2020;26/6/2020
523;13/2/2020;2/5/2020
524;10/11/2020;13/6/2020
525;9/2/2020;29/7/2020
526;2/5/2020;2/8/2020
527;18/2/2020;17/10/2020
528;1/4/2020;23/10/2020
529;23/7/2020;12/8/2020
530;1/8/2020;27/5/2020
531;26/6/2020;13/3/2020
532;31/3/2020;7/9/2020
533;28/1/2020;17/12/2020
534;23/10/2020;20/6/2020
535;13/2/2020;14/6/2020
536;22/5/2020;29/11/2020
537;18/8/2020;13/11/2020
538;29/9/2020;9/10/2020
539;30/5/2020;11/6/2020
540;11/4/2020;26/1/2020
541;18/10/2020;16/3/2020
542;2/6/2020;18/7/2020
543;11/3/2020;9/3/2020
544;3/11/2020;19/2/2020
545;8/10/2020;8/1/2020
546;26/1/2020;31/1/2020
547;9/5/2020;18/6/2020
548;21/2/2020;3/6/2020
549;12/2/2020;6/2/2020
550;10/2/2020;20/4/2020
551;18/8/2020;18/4/2020
552;27/8/2020;17/5/2020
553;21/12/2020;25/9/2020
554;27/10/2020;15/6/2020
555;8/4/2020;16/9/2020
556;27/8/2020;4/10/2020
557;2/10/2020;12/2/2020
558;19/2/2020;11/12/2020
559;11/7/2020;28/7/2020
560;11/8/2020;24/9/2020
561;24/5/2020;25/8/2020
562;27/6/2020;2/6/2020
563;5/8/2020;3/12/2020
564;25/11/2020;16/4/2020
565;13/6/2020;16/3/2020
566;17/12/2020;30/10/2020
567;28/5/2020;19/3/2020
568;1/3/2020;25/4/2020
569;20/6/2020;26/6/2020
570;4/3/2020;28/9/2020
571;30/12/2020;1/3/2020
572;30/10/2020;28/5/2020
573;25/4/2020;30/4/2020
574;7/8/2020;10/11/2020
575;12/10/2020;24/5/2020
576;15/3/2020;23/10/2020
577;11/9/2020;30/9/2020
578;10/12/2020;13/5/2020
579;17/11/2020;9/3/2020
580;16/11/2020;26/5/2020
581;18/12/2020;3/8/2020
582;5/7/2020;29/11/2020
583;29/3/2020;22/2/2020
584;16/12/2020;19/8/2020
585;17/8/2020;1/1/2020
586;6/1/2020;17/6/2020
587;7/8/2020;30/8/2020
588;18/2/2020;5/10/2020
589;22/1/2020;7/9/2020
590;15/9/2020;2/12/2020
591;27/6/2020;13/10/2020
592;4/5/2020;3/1/2020
593;23/7/2020;10/5/2020
594;27/7/2020;4/7/2020
595;26/7/2020;9/1/2020
596;6/4/2020;27/3/2020
597;3/10/2020;23/11/2020
598;24/1/2020;31/12/2020
599;27/9/2020;21/4/2020
600;4/12/2020;27/8/2020
601;21/3/2020;11/6/2020
602;19/10/2020;2/1/2020
603;6/1/2020;26/4/2020
604;8/6/2020;28/10/2020
605;23/3/2020;12/5/2020
606;21/12/2020;2/5/2020
607;6/3/2020;4/2/2020
608;6/3/2020;3/8/2020
609;23/10/2020;22/1/2020
610;23/9/2020;2/5/2020
611;26/9/2020;1/7/2020
612;25/3/2020;29/1/2020
613;17/4/2020;30/8/2020
614;30/6/2020;13/1/2020
615;17/6/2020;29/10/2020
616;21/6/2020;30/10/2020
617;14/8/2020;4/9/2020
618;9/10/2020;11/12/2020
619;24/7/2020;30/8/2020
620;5/5/2020;16/12/2020
621;16/1/2020;16/10/2020
622;19/4/2020;26/3/2020
623;7/3/2020;7/8/2020
624;22/4/2020;19/7/2020
625;30/7/2020;22/11/2020
626;30/6/2020;23/8/2020
627;24/10/2020;22/10/2020
628;21/1/2020;16/3/2020
629;18/4/2020;1/5/2020
630;16/5/2020;20/5/2020
631;10/11/2020;17/9/2020
632;18/12/2020;8/7/2020
633;26/8/2020;2/5/2020
634;6/1/2020;18/10/2020
635;12/1/2020;23/2/2020
636;6/5/2020;1/6/2020
637;15/2/2020;3/4/2020
638;14/4/2020;21/11/2020
639;3/10/2020;21/9/2020
640;7/2/2020;5/6/2020
641;26/6/2020;25/7/2020
642;20/5/2020;3/11/2020
643;8/1/2020;11/8/2020
644;24/11/2020;30/1/2020
645;16/7/2020;21/10/2020
646;5/4/2020;26/2/2020
647;19/2/2020;23/10/2020
648;11/8/2020;4/12/2020
649;28/7/2020;17/2/2020
650;26/2/2020;30/5/2020
651;15/2/2020;6/12/2020
652;1/7/2020;14/1/2020
653;9/3/2020;30/5/2020
654;6/5/2020;28/10/2020
655;27/7/2020;8/10/2020
656;21/7/2020;27/8/2020
657;10/5/2020;15/8/2020
658;17/6/2020;1/2/2020
659;23/11/2020;3/10/2020
660;28/3/2020;30/9/2020
661;12/12/2020;26/10/2020
662;11/4/2020;9/6/2020
663;26/2/2020;8/5/2020
664;24/3/2020;3/1/2020
665;29/5/2020;27/10/2020
666;5/8/2020;5/10/2020
667;20/6/2020;28/3/2020
668;5/12/2020;20/10/2020
669;9/1/2020;24/12/2020
670;13/9/2020;28/8/2020
671;27/6/2020;15/6/2020
672;31/5/2020;9/1/2020
673;5/9/2020;31/8/2020
674;4/1/2020;7/8/2020
675;8/4/2020;28/8/2020
676;5/5/2020;17/8/2020
677;29/1/2020;28/2/2020
678;12/6/2020;15/7/2020
679;2/8/2020;31/10/2020
680;31/7/2020;3/12/2020
681;6/11/2020;27/10/2020
682;26/6/2020;24/3/2020
683;1/2/2020;7/7/2020
684;4/8/2020;22/7/2020
685;18/11/2020;29/9/2020
686;12/10/2020;17/6/2020
687;19/2/2020;24/4/2020
688;3/10/2020;23/10/2020
689;13/8/2020;6/3/2020
690;11/5/2020;16/11/2020
691;12/8/2020;11/6/2020
692;20/8/2020;21/9/2020
693;8/6/2020;16/9/2020
694;18/3/2020;24/8/2020
695;5/9/2020;29/9/2020
696;24/11/2020;22/1/2020
697;18/4/2020;8/12/2020
698;15/1/2020;13/6/2020
699;22/1/2020;9/9/2020
700;20/1/2020;28/3/2020
701;13/10/2020;13/2/2020
702;21/10/2020;7/12/2020
703;20/1/2020;22/5/2020
704;5/9/2020;24/2/2020
705;6/6/2020;11/2/2020
706;14/10/2020;8/8/2020
707;27/4/2020;8/4/2020
708;1/8/2020;10/11/2020
709;20/10/2020;24/3/2020
710;12/3/2020;5/1/2020
711;9/5/2020;3/5/2020
712;12/7/2020;10/2/2020
713;5/2/2020;24/11/2020
714;3/8/2020;4/7/2020
715;22/4/2020;8/9/2020
716;26/11/2020;25/6/2020
717;26/3/2020;1/5/2020
718;23/4/2020;23/2/2020
719;16/9/2020;8/8/2020
720;21/7/2020;30/6/2020
721;31/8/2020;3/5/2020
722;1/3/2020;29/1/2020
723;26/3/2020;25/1/2020
724;15/12/2020;19/12/2020
725;30/10/2020;6/11/2020
726;1/4/2020;24/2/2020
727;9/1/2020;30/11/2020
728;2/4/2020;27/1/2020
729;20/12/2020;8/11/2020
730;3/3/2020;3/9/2020
731;26/12/2020;6/7/2020
732;6/3/2020;22/8/2020
733;19/5/2020;22/8/2020
734;1/12/2020;10/4/2020
735;6/6/2020;24/7/2020
736;3/7/2020;5/8/2020
737;25/5/2020;1/8/2020
738;30/12/2020;8/7/2020
739;22/6/2020;20/7/2020
740;20/5/2020;14/10/2020
741;2/4/2020;18/12/2020
742;1/5/2020;11/10/2020
743;24/7/2020;18/5/2020
744;5/6/2020;2/10/2020
745;10/4/2020;19/11/2020
746;11/8/2020;17/1/2020
747;15/8/2020;14/11/2020
748;19/12/2020;3/8/2020
749;10/2/2020;17/11/2020
750;11/7/2020;1/11/2020
751;17/4/2020;26/8/2020
752;12/2/2020;13/12/2020
753;12/5/2020;26/10/2020
754;20/12/2020;22/1/2020
755;12/5/2020;16/10/2020
756;7/11/2020;8/4/2020
757;12/10/2020;13/10/2020
758;24/1/2020;27/9/2020
759;29/11/2020;22/4/2020
760;30/1/2020;30/3/2020
761;4/11/2020;22/6/2020
762;2/12/2020;15/11/2020
763;22/10/2020;16/6/2020
764;3/2/2020;7/8/2020
765;24/11/2020;1/4/2020
766;23/2/2020;4/12/2020
767;23/10/2020;19/11/2020
768;24/6/2020;17/11/2020
769;2/5/2020;24/10/2020
770;22/6/2020;26/10/2020
771;12/1/2020;29/9/2020
772;29/8/2020;21/4/2020
773;28/1/2020;22/7/2020
774;26/4/2020;8/1/2020
775;1/8/2020;25/9/2020
776;21/11/2020;7/7/2020
777;20/11/2020;13/1/2020
778;18/9/2020;30/4/2020
779;31/10/2020;27/7/2020
780;7/1/2020;31/10/2020
781;15/8/2020;17/3/2020
782;31/7/2020;19/9/2020
783;21/8/2020;29/3/2020
784;28/8/2020;15/10/2020
785;13/11/2020;25/9/2020
786;10/5/2020;5/4/2020
787;2/5/2020;23/5/2020
788;5/1/2020;21/4/2020
789;26/5/2020;16/7/2020
790;3/4/2020;16/6/2020
791;19/4/2020;1/1/2020
792;1/10/2020;23/4/2020
793;30/5/2020;25/9/2020
794;24/9/2020;22/3/2020
795;28/3/2020;20/11/2020
796;23/6/2020;13/1/2020
797;29/9/2020;26/5/2020
798;19/10/2020;23/12/2020
799;2/8/2020;22/2/2020
800;28/3/2020;22/5/2020
801;27/5/2020;23/5/2020
802;18/8/2020;12/7/2020
803;17/5/2020;24/1/2020
804;8/12/2020;25/4/2020
805;20/12/2020;16/4/2020
806;17/11/2020;22/3/2020
807;22/6/2020;4/8/2020
808;27/2/2020;23/12/2020
809;14/1/2020;15/11/2020
810;18/3/2020;23/6/2020
811;27/2/2020;9/7/2020
812;16/5/2020;17/1/2020
813;9/8/2020;2/11/2020
814;22/8/2020;11/6/2020
815;11/1/2020;19/1/2020
816;30/12/2020;26/2/2020
817;1/10/2020;22/11/2020
818;21/11/2020;20/12/2020
819;31/8/2020;8/2/2020
820;4/2/2020;14/4/2020
821;9/3/2020;2/6/2020
822;12/1/2020;3/6/2020
823;28/6/2020;16/10/2020
824;7/4/2020;17/12/2020
825;6/3/2020;7/5/2020
826;27/1/2020;21/6/2020
827;10/11/2020;21/1/2020
828;17/7/2020;19/4/2020
829;23/1/2020;7/5/2020
830;11/12/2020;25/7/2020
831;30/7/2020;22/6/2020
832;26/2/2020;9/4/2020
833;18/5/2020;30/1/2020
834;22/12/2020;29/8/2020
835;26/12/2020;13/6/2020
836;30/8/2020;24/9/2020
837;13/7/2020;4/5/2020
838;31/8/2020;13/10/2020
839;2/11/2020;17/8/2020
840;1/11/2020;2/2/2020
841;25/8/2020;15/3/2020
842;13/4/2020;14/8/2020
843;3/11/2020;23/9/2020
844;10/11/2020;4/9/2020
845;16/2/2020;8/8/2020
846;9/1/2020;18/8/2020
847;2/7/2020;26/4/2020
848;29/2/2020;27/4/2020
849;24/8/2020;10/12/2020
850;11/2/2020;14/2/2020
851;5/8/2020;2/7/2020
852;22/12/2020;14/2/2020
853;30/5/2020;10/3/2020
854;7/7/2020;6/9/2020
855;16/9/2020;24/1/2020
856;16/9/2020;14/11/2020
857;12/7/2020;31/3/2020
858;18/5/2020;24/1/2020
859;23/8/2020;28/6/2020
860;20/6/2020;14/4/2020
861;15/2/2020;18/6/2020
862;1/9/2020;11/5/2020
863;25/10/2020;24/5/2020
864;5/6/2020;11/8/2020
865;10/6/2020;1/10/2020
866;13/2/2020;26/5/2020
867;24/5/2020;2/8/2020
868;11/7/2020;27/6/2020
869;7/1/2020;10/8/2020
870;6/3/2020;13/11/2020
871;25/5/2020;12/4/2020
872;10/10/2020;8/7/2020
